Shipment_ID,Date,Origin_Port,Destination_Port,Carrier,Weather_En_Route,Container_Weight_Tons,Port_Congestion_Index,Route_Distance_NM,Is_Delayed,Delay_Days
SHP-10000,2025-01-24,Dubai,Shanghai,COSCO,Clear,27.79,0.49,7258,0,0
SHP-10001,2025-08-28,Rotterdam,Dubai,Maersk,Rain,19.04,0.25,10348,0,0
SHP-10002,2025-11-22,Los Angeles,Shanghai,MSC,Clear,23.8,0.92,10157,1,12
SHP-10003,2025-06-06,Rotterdam,Shanghai,Hapag-Lloyd,Clear,28.47,0.4,11916,0,0
SHP-10004,2025-02-13,Hamburg,Rotterdam,Hapag-Lloyd,Clear,19.14,0.48,4718,0,0
SHP-10005,2025-05-08,Shanghai,Rotterdam,Evergreen,Rain,28.36,0.68,10677,0,0
SHP-10006,2025-12-26,Dubai,Shanghai,Maersk,Clear,11.77,0.98,9285,0,0
SHP-10007,2025-01-19,Los Angeles,Dubai,MSC,Clear,24.62,0.11,4733,0,0
SHP-10008,2025-07-28,Hamburg,Rotterdam,MSC,Rain,26.72,0.17,9690,0,0
SHP-10009,2025-07-30,Singapore,Los Angeles,Hapag-Lloyd,Storm,15.9,0.7,5821,0,0
SHP-10010,2025-09-17,Shanghai,Hamburg,Hapag-Lloyd,Clear,27.48,0.35,3735,0,0
SHP-10011,2025-06-28,Los Angeles,Dubai,Maersk,Rain,18.65,0.83,7652,1,13
SHP-10012,2025-04-11,Rotterdam,Hamburg,Hapag-Lloyd,Clear,13.36,0.98,9954,1,14
SHP-10013,2025-08-19,Rotterdam,Singapore,MSC,Clear,16.41,0.61,3846,0,0
SHP-10014,2025-10-18,Singapore,Hamburg,Hapag-Lloyd,Rain,26.6,0.95,4047,0,0
SHP-10015,2025-04-18,Shanghai,Rotterdam,Evergreen,Clear,27.37,0.4,5743,0,0
SHP-10016,2025-10-23,Hamburg,Shanghai,COSCO,Rain,11.93,0.94,3808,0,0
SHP-10017,2025-09-07,Shanghai,Singapore,Hapag-Lloyd,Rain,16.65,0.26,11270,0,0
SHP-10018,2025-06-21,Singapore,Rotterdam,MSC,Rain,23.57,0.23,9311,0,0
SHP-10019,2025-12-02,Los Angeles,Shanghai,Hapag-Lloyd,Clear,27.41,0.11,11335,0,0
SHP-10020,2025-12-10,Rotterdam,Singapore,Maersk,Clear,15.95,0.88,3617,0,0
SHP-10021,2025-03-07,Singapore,Hamburg,Hapag-Lloyd,Rain,14.24,0.53,3777,0,0
